Column1,Column2,Column3
-3.6,35.88,1
1.78,40.43,0
-0.69,39.25,1
1.07,42.05,0
-0.55,41,1
1.82,45.85,1
-0.42,50.7,1
0.19,51.2,0
-0.62,49.41,0
-0.62,47.62,0
-1.68,43.1,1
1.83,48.71,1
0.67,50.66,1
1.3,54.32,1
2.14,59.69,0
-0.07,59.45,1
0.23,60.04,1
0.66,61.78,1
3.91,70.14,1
0.06,70.25,1
1.8,73.45,1
0.82,74.8,1
0.29,75.29,1
0.49,76.13,0
-1.22,69.76,1
0.27,70.35,0
-0.15,69.56,1
0.24,70.14,0
-1.07,64.17,1
1.12,67.29,1
1.61,71.2,1
0.44,72.2,0
-1.19,65.59,1
1.88,70.18,1
0.65,71.61,1
1.49,74.65,0
-0.36,72.6,1
0.44,76.6,1
0.44,77.49,0
-0.27,75.59,1
0.77,77.29,1
0.21,77.74,1
0.06,77.87,1
1.34,80.75,1
1.31,83.1,0
-0.61,78.26,0
-0.13,77.21,0
-1,69.65,1
5.98,81.29,1
2.8,84.47,1
1.64,86.01,0
-0.49,83.3,0
-2.77,69.97,0
-0.17,69.26,1
2.69,73.8,0
-2.81,63.04,1
2.01,66.69,0
-2.88,57.75,0
-1.04,54.96,0
-3.8,46.27,0
-4.22,39.15,1
7.69,52.79,1
1,54.33,1
2.17,57.61,0
-1.42,54.78,0
-1.76,51.46,1
0.16,51.73,0
-0.73,50.3,0
-1.59,47.24,0
-4.26,40.29,1
1.92,44.11,1
1.83,47.62,0
-0.62,46.52,0
-0.45,45.71,1
3.79,53.06,1
1.2,60.22,0
-0.31,59.4,0
-2.72,52.7,0
-1.96,48.57,0
-0.64,47.29,0
-2.46,42.67,1
3.01,49.06,1
1.2,51.45,1
0.3,52.07,1
2.13,56.3,1
2.91,61.43,1
1.73,64.19,1
0.81,65.46,0
-1.42,61.31,1
1.36,63.65,0
-1.05,60.57,0
-0.73,58.47,0
-0.86,56.04,1
0.6,57.37,0
-4.52,46.02,0
-1.81,42.55,0
-1.21,40.39,0
4.04,50.83,0
-0.22,50.32,1
0.59,51.71,0
-0.9,49.44,0
-2.13,44.5,1
0.37,45.49,0
-0.51,44.32,0
-0.62,42.87,0
-1.73,39.04,1
2.57,46.55,1
0.93,49.06,1
1.88,53.82,1
0.36,54.7,0
-0.25,53.9,1
1.85,58.59,0
-1.18,54.7,0
-1.09,51.34,0
-0.33,50.34,1
1.79,55.37,1
0.03,55.45,1
0.4,56.61,0
-0.49,54.74,0
-0.62,52.39,1
0.64,54.56,0
-0.89,51.03,0
-3.55,40.06,1
0.64,42.38,0
-1.07,39.61,0
-0.59,38.15,1
1.75,44.65,1
0.44,46.2,0
-1.26,42.49,0
-0.1,42.22,0
-1.54,37.98,0
-2.39,32.6,1
1.23,37.42,0
-1.07,35.04,1
0.56,37.24,1
0.36,38.71,1
0.25,39.75,1
2.97,50.6,1
0.74,52.92,1
1.98,63.64,1
0.06,63.78,1
0.13,64.11,1
1.38,67.49,1
0.38,68.39,1
0.81,70.27,1
2.35,74.98,0
-0.43,72.64,1
2.85,77.58,1
0.19,77.87,1
1.4,79.97,1
0.41,80.55,1
1.18,82.18,0
-0.4,79.73,0
-1.48,71.26,1
0.18,71.65,0
-1.26,65,0
-0.43,62.86,0
-1.37,56.55,1
3.7,66.24,1
0.09,66.44,1
0.01,66.46,1
1.68,70.33,1
0.44,71.27,1
1.08,73.52,1
0.54,74.6,1
0.72,76.02,1
4.11,82.18,1
1.04,83.39,0
-2.68,70.06,1
0.34,70.68,0
-0.33,69.19,0
-0.66,66.14,1
0.45,67.18,0
-0.26,65.92,0
-0.07,65.55,0
-0.84,61.22,0
-1.4,54.8,1
1.06,58.33,1
1.7,63.33,1
1.11,66.23,1
1.75,70.25,0
-0.36,68.42,1
0.47,69.54,0
-0.8,65.3,1
0.62,66.97,0
-0.43,64.6,0
-2.72,52.21,0
-0.32,51,0
-1.78,44.84,0
-0.36,43.7,1
2.64,53.03,0
-0.55,51.08,1
2.16,57.64,0
-1.48,52.36,1
0.59,59.63,0
-1.81,52.82,1
1.69,57.6,1
0.55,59.09,0
-0.22,58.2,1
0.85,60.65,0
-0.61,58.03,1
0.88,60.67,0
-0.39,58.89,1
0.25,59.7,1
0.35,60.86,0
-0.43,58.6,1
0.02,58.69,1
0.28,59.8,0
-0.2,58.58,1
0.5,60.74,1
0.62,63.3,1
0.3,64.51,0
0.24,63.64,0
-0.06,63.17,0
-0.5,59.01,0
-0.34,56.31,1
2.17,66.75,1
0.52,68.72,1
0.82,71.59,0
-0.08,70.89,1
0.72,73.36,1
1.88,78.55,0
-0.24,76.5,1
0.81,78.57,1
0.37,79.45,1
-0.53,60.76,0
-1.82,51.3,0
-1.79,44.14,1
3.28,56.04,1
1.17,59.46,1
0.72,61.47,0
-0.19,60.62,0
-2.07,52.07,1
0.96,55.16,1
1.68,60.07,0
-0.21,59.2,0
-0.26,58.08,1
0.89,60.85,1
1.55,65.21,1
0.94,67.6,1
0.83,69.61,0
-1.01,64.36,1
0.65,66.12,1
0.65,67.84,1
0.2,68.37,1
0.9,70.73,0
-1.33,63.16,0
1.18,46.33,1
0.08,46.59,1
1.54,51.67,1
1.45,55.99,0
-1.1,52.12,1
0.8,54.56,1
2.11,60.32,1
0.12,60.63,0
-1.29,55.58,1
0.11,55.92,0
-0.92,52.36,0
-1.65,46.71,1
1.53,51.84,1
0.45,53.27,0
-2.3,45.7,0
-4.46,35.42,1
1.4,39.8,0
-1.19,37.45,1
2.61,45.04,1
0.56,46.57,0
-0.59,45.14,1
1.7,49.92,1
1.9,54.75,0
-0.31,53.81,1
0.15,54.21,0
-0.66,52.05,0
-0.03,51.93,0
-1.13,48.16,0
-0.98,45.14,0
-0.67,43.15,0
-0.25,42.41,1
0.01,42.46,0
-0.89,39.65,0
-1.27,36.03,1
0.48,38.31,1
1.12,43.37,0
-1.1,39.87,0
-1.49,35.71,1
1.34,41.52,1
1.81,48.4,1
1.35,52.91,1
-0.73,58.53,0
-0.08,58.21,0
-0.97,54.24,1
0.97,57.35,0
-1.1,52.93,1
0.55,54.8,1
0.39,56.14,0
-0.81,52.68,0
-0.03,52.57,1
0.27,53.67,1
0.53,55.85,0
-0.64,52.65,0
-0.19,51.71,0
-1.75,43.89,0
-2.11,36.79,1
0.85,40.85,1
1.11,45.79,1
0.19,46.63,0
-1.56,41.07,0
-0.24,40.27,0
-0.66,38.11,1
