Column1,Column2,Column3,Column4,Column5
35.88,27.44,-3.6,-14.9,1.0
70.14,31.28,3.91,13.52,1.0
70.25,31.3,0.06,0.16,1.0
73.45,31.86,1.8,4.56,1.0
74.8,32.12,0.82,1.84,1.0
75.29,32.21,0.29,0.66,1.0
76.13,32.37,0.49,1.11,0.0
70.35,32.06,0.27,0.85,0.0
70.14,32.09,0.24,0.83,0.0
71.2,32.62,1.61,5.8,1.0
72.2,32.77,0.44,1.4,0.0
70.18,32.99,1.88,7.0,1.0
71.61,33.2,0.65,2.04,1.0
74.65,33.69,1.49,4.24,0.0
72.6,33.57,-0.36,-2.75,1.0
76.6,34.22,0.44,1.16,1.0
77.49,34.37,0.44,1.16,0.0
75.59,34.28,-0.27,-2.45,1.0
77.29,34.54,0.77,2.24,1.0
77.74,34.61,0.21,0.58,1.0
77.87,34.63,0.06,0.17,1.0
80.75,35.1,1.34,3.7,1.0
83.1,35.56,1.31,2.91,0.0
78.26,35.34,-0.61,-5.82,0.0
77.21,35.3,-0.13,-1.34,0.0
81.29,37.03,5.98,16.72,1.0
84.47,38.07,2.8,3.91,1.0
86.01,38.69,1.64,1.82,0.0
83.3,38.5,-0.49,-3.15,0.0
73.8,38.38,2.69,6.56,0.0
46.27,35.18,-3.8,-15.82,0.0
39.15,33.69,-4.22,-15.38,1.0
52.79,36.28,7.69,34.85,1.0
40.29,33.97,-4.26,-14.7,1.0
53.06,36.19,3.79,16.09,1.0
46.02,36.6,-4.52,-19.79,0.0
50.83,36.95,4.04,23.46,0.0
40.06,35.74,-3.55,-21.5,1.0
70.27,38.6,0.81,2.75,1.0
74.98,39.51,2.35,6.7,0.0
72.64,39.34,-0.43,-3.12,1.0
77.58,40.46,2.85,6.8,1.0
77.87,40.54,0.19,0.38,1.0
79.97,41.11,1.4,2.69,1.0
80.55,41.27,0.41,0.73,1.0
82.18,41.76,1.18,2.02,0.0
79.73,41.59,-0.4,-2.98,0.0
71.26,40.98,-1.48,-10.62,1.0
71.65,41.05,0.18,0.54,0.0
66.24,41.28,3.7,17.13,1.0
70.33,42.01,1.68,5.82,1.0
71.27,42.19,0.44,1.35,1.0
73.52,42.65,1.08,3.15,1.0
74.6,42.88,0.54,1.46,1.0
76.02,43.19,0.72,1.91,1.0
82.18,44.96,4.11,8.1,1.0
83.39,45.43,1.04,1.47,0.0
70.06,44.21,-2.68,-15.98,1.0
70.68,44.36,0.34,0.88,0.0
70.25,45.47,1.75,6.08,0.0
71.59,47.71,0.82,4.17,0.0
70.89,47.68,-0.08,-0.97,1.0
73.36,48.02,0.72,3.48,1.0
78.55,48.92,1.88,7.08,0.0
76.5,48.81,-0.24,-2.62,1.0
78.57,49.2,0.81,2.71,1.0
79.45,49.38,0.37,1.13,1.0
70.73,51.88,0.9,3.44,0.0
35.42,47.14,-4.46,-22.5,1.0
74.12,53.4,2.43,6.4,1.0
75.45,53.84,0.82,1.8,1.0
79.25,55.27,2.67,5.03,1.0
79.38,55.33,0.1,0.17,1.0
81.37,56.19,1.55,2.5,1.0
82.9,56.93,1.32,1.89,1.0
84.22,57.63,1.23,1.59,0.0
71.17,56.08,-2.68,-15.5,0.0
70.34,55.97,-0.2,-1.17,0.0
71.87,56.68,1.61,4.43,0.0
52.53,53.91,-3.87,-19.83,0.0
38.59,50.46,-5.46,-22.68,1.0
50.83,53.43,5.89,31.72,0.0
45.98,52.29,-3.78,-14.36,0.0
51.16,53.37,4.81,22.49,1.0
51.8,55.54,5.14,36.91,1.0
51.34,56.95,-5.59,-23.16,0.0
57.63,56.56,3.59,23.27,1.0
70.25,59.72,1.11,4.01,1.0
72.59,60.34,1.05,3.34,0.0
71.66,60.25,-0.16,-1.28,1.0
72.52,60.46,0.36,1.2,0.0
71.45,60.36,-0.16,-1.47,0.0
73.44,61.3,1.04,3.96,0.0
71.19,61.11,-0.32,-3.07,0.0
71.77,63.81,6.24,25.06,0.0
70.93,63.9,0.6,1.6,1.0
73.23,64.72,1.28,3.25,1.0
74.55,65.21,0.77,1.8,0.0
74.22,65.17,-0.06,-0.44,0.0
72.95,65.02,-0.23,-1.72,1.0
74.93,65.67,1.0,2.72,1.0
76.66,66.28,0.93,2.31,1.0
78.47,66.98,1.05,2.37,1.0
81.04,68.1,1.67,3.27,1.0
85.06,70.45,3.46,4.97,1.0
85.11,70.49,0.05,0.06,1.0
86.9,71.8,1.86,2.1,1.0
88.06,72.78,1.36,1.33,0.0
75.7,71.1,-2.31,-14.03,1.0
77.04,71.74,0.91,1.76,0.0
78.62,73.29,-0.35,-2.27,1.0
79.54,73.77,0.65,1.18,1.0
81.12,74.63,1.17,1.99,1.0
81.96,75.11,0.64,1.03,1.0
84.13,76.49,1.84,2.66,1.0
85.51,77.49,1.31,1.63,1.0
85.88,77.78,0.37,0.44,1.0
86.02,77.88,0.13,0.16,0.0
73.02,76.17,-2.2,-15.12,0.0
70.26,75.75,-0.54,-3.78,1.0
70.44,75.81,0.08,0.25,1.0
74.73,77.43,2.13,6.09,1.0
75.79,77.88,0.59,1.42,1.0
77.94,78.86,1.25,2.84,1.0
82.0,81.16,2.92,5.21,1.0
85.76,84.23,3.78,4.59,0.0
82.3,83.65,-0.68,-4.04,1.0
82.3,83.65,0.0,0.0,1.0
85.01,85.87,2.65,3.3,1.0
85.75,86.57,0.81,0.87,0.0
82.64,86.07,-0.57,-3.63,0.0
79.79,85.62,-0.52,-3.45,0.0
76.82,85.15,-0.55,-3.72,1.0
79.54,86.71,1.83,3.55,1.0
81.18,87.78,1.24,2.06,1.0
81.83,88.23,0.51,0.81,0.0
74.9,87.12,-1.26,-8.47,0.0
72.69,88.38,3.18,8.81,1.0
75.33,89.9,1.73,3.63,0.0
71.82,89.19,-0.8,-4.65,1.0
43.47,82.88,-4.15,-20.27,1.0
55.04,87.1,5.1,26.6,0.0
55.29,87.14,8.87,43.58,0.0
46.59,80.18,5.83,52.21,0.0
38.89,82.14,-4.32,-27.5,0.0
73.64,92.59,1.85,6.91,1.0
78.71,95.02,2.63,6.9,0.0
70.87,93.72,-1.37,-9.96,1.0
74.7,95.55,1.95,5.4,0.0
70.08,94.75,0.09,0.28,1.0
73.94,96.53,1.88,5.51,0.0
73.22,96.4,-0.13,-0.97,0.0
72.08,96.21,-0.2,-1.56,0.0
70.3,99.97,1.23,3.97,1.0
70.95,100.27,0.3,0.92,1.0
71.01,100.3,0.03,0.09,0.0
33.01,87.12,-3.6,-17.64,1.0
44.25,90.58,3.97,34.04,0.0
29.72,82.4,-3.31,-14.13,1.0
27.56,79.71,-4.26,-17.13,0.0
23.96,76.82,-3.63,-13.07,1.0
28.58,78.15,1.73,19.29,0.0
27.75,77.55,-0.77,-2.89,1.0
27.79,77.56,0.01,0.13,0.0
26.52,76.7,-1.11,-4.55,0.0
24.3,75.09,-2.1,-8.39,1.0
