Column1,Column2,Column3,Column4
38.86,-1.62,-13.06,0
38.72,-0.04,-0.36,0
38.18,-0.15,-1.39,1
46.22,1.54,21.04,0
45.81,-0.1,-0.88,1
56.97,2.64,24.37,0
65.48,1.42,6.53,0
64.53,-0.18,-1.45,1
65.41,0.3,1.37,1
65.7,0.09,0.43,0
58.8,-1.23,-10.49,1
62.82,1.19,6.84,1
65.22,0.77,3.82,1
65.71,0.16,0.74,1
68.02,0.75,3.53,1
68.5,0.15,0.7,0
66.46,-0.29,-2.97,1
67.01,0.15,0.83,1
70.53,1.04,5.25,1
74.88,1.55,6.16,0
72.52,-0.31,-3.15,1
73.24,0.25,1.0,0
71.71,-0.19,-2.09,0
69.93,-0.21,-2.49,1
70.3,0.1,0.54,1
71.13,0.21,1.17,1
73.5,0.64,3.34,0
67.31,-0.66,-8.42,0
65.62,-0.19,-2.5,1
68.41,0.61,4.24,1
72.3,0.99,5.69,0
61.2,-1.33,-15.35,0
57.25,-0.56,-6.44,1
63.21,1.32,10.4,0
62.32,-0.12,-1.41,0
58.17,-0.58,-6.66,1
59.47,0.26,2.23,1
71.06,0.6,2.89,0
67.42,-0.46,-5.12,0
66.94,-0.06,-0.72,1
73.44,1.92,9.72,1
74.31,0.3,1.17,1
75.47,0.41,1.57,0
69.94,-0.65,-7.33,1
69.94,0.0,-0.0,0
59.16,-1.41,-15.42,1
59.73,0.12,0.96,1
64.69,1.14,8.3,1
68.11,0.91,5.29,1
76.3,2.99,12.03,0
74.82,-0.21,-1.94,1
76.46,0.69,2.19,0
63.37,-2.03,-17.13,1
64.0,0.2,1.01,1
68.99,1.7,7.8,0
64.38,-0.8,-6.68,0
62.21,-0.39,-3.38,0
50.89,-2.42,-18.2,0
47.61,-0.87,-6.44,0
37.64,-3.35,-20.94,0
33.35,-1.98,-11.39,1
49.72,5.35,49.07,1
50.5,0.3,1.56,1
54.01,1.38,6.96,0
50.11,-1.38,-7.22,0
45.52,-1.82,-9.17,0
44.59,-0.39,-2.04,0
42.41,-0.92,-4.89,0
40.21,-0.97,-5.19,0
32.94,-3.85,-18.09,1
36.92,1.3,12.11,0
35.69,-0.69,-3.34,0
34.97,-0.4,-2.03,0
32.78,-1.23,-6.26,1
40.17,2.29,22.56,0
43.56,2.86,24.07,1
43.96,0.14,0.91,0
35.05,-4.71,-20.28,0
32.77,-1.57,-6.49,1
35.25,0.87,7.56,1
38.16,1.03,8.26,1
47.72,3.84,25.06,1
48.44,0.31,1.5,1
49.44,0.41,2.06,1
55.11,2.48,11.47,0
52.56,-0.97,-4.63,0
50.46,-0.82,-3.99,1
52.23,0.71,3.5,0
50.2,-0.75,-3.89,0
43.41,-2.8,-13.52,0
42.46,-0.45,-2.2,0
38.9,-1.72,-8.37,1
41.36,0.82,6.32,0
41.01,-0.16,-0.85,0
33.47,-3.95,-18.4,0
31.26,-1.47,-6.6,1
32.79,0.48,4.9,0
40.8,3.78,39.05,1
46.85,2.37,14.82,1
48.9,0.85,4.39,0
47.25,-0.71,-3.39,1
53.12,2.45,12.44,0
53.02,-0.04,-0.2,0
52.65,-0.13,-0.7,0
42.4,-4.19,-19.46,0
42.18,-0.11,-0.52,1
49.96,3.04,18.46,0
46.77,-1.39,-6.39,1
58.85,6.0,25.83,1
61.76,1.76,4.94,1
65.72,2.63,6.42,0
60.81,-1.86,-7.48,0
58.28,-1.02,-4.16,0
57.3,-0.39,-1.67,1
57.55,0.13,0.43,1
61.32,1.98,6.54,0
56.44,-1.76,-7.95,1
60.32,2.04,6.87,0
59.23,-0.38,-1.8,0
58.46,-0.26,-1.3,0
58.15,-0.1,-0.53,0
57.17,-0.3,-1.68,0
48.41,-2.99,-15.33,0
46.03,-0.96,-4.91,0
44.17,-0.78,-4.06,1
44.57,0.13,0.91,1
49.34,1.58,10.71,0
48.74,-0.21,-1.21,0
42.75,-2.21,-12.29,0
41.47,-0.53,-2.99,0
40.69,-0.32,-1.89,0
38.04,-1.09,-6.51,1
39.23,0.31,3.14,0
34.5,-2.03,-12.07,1
38.15,0.94,10.58,0
34.9,-1.45,-8.52,0
29.28,-3.08,-16.11,1
41.43,3.8,41.52,1
45.29,1.39,9.3,1
48.36,0.35,1.99,0
48.28,-0.03,-0.15,1
50.04,0.59,3.64,1
52.79,0.93,5.49,1
56.4,1.29,6.85,1
59.31,1.1,5.16,0
57.18,-0.56,-3.59,0
56.59,-0.15,-1.04,1
61.74,1.86,9.11,0
59.22,-0.61,-4.09,0
56.62,-0.64,-4.38,0
53.44,-0.81,-5.62,1
60.01,2.21,12.28,1
62.19,0.82,3.64,1
65.47,1.32,5.27,1
65.86,0.16,0.6,1
66.4,0.21,0.82,0
65.1,-0.25,-1.97,0
65.03,-0.01,-0.11,1
70.95,2.22,9.11,0
68.91,-0.35,-2.87,1
69.44,0.19,0.76,1
74.74,2.26,7.64,1
76.86,1.08,2.83,0
74.14,-0.43,-3.54,0
72.42,-0.27,-2.31,1
75.83,1.54,4.7,1
75.9,0.03,0.1,1
77.39,0.7,1.96,0
69.94,-1.11,-9.63,1
74.95,2.16,7.16,0
61.43,-2.6,-18.03,1
63.93,0.95,4.07,0
60.05,-0.87,-6.07,1
61.36,0.46,2.19,0
49.18,-3.19,-19.86,1
52.63,1.12,7.02,0
50.26,-0.72,-4.51,1
50.38,0.04,0.24,1
50.63,0.07,0.51,0
49.62,-0.26,-2.01,1
51.61,0.51,4.02,1
57.79,1.72,11.96,0
54.46,-0.75,-5.76,0
48.37,-1.54,-11.18,0
38.98,-3.13,-19.41,1
41.02,0.53,5.23,0
36.44,-1.86,-11.15,1
38.42,0.5,5.41,0
35.45,-1.25,-7.71,1
44.41,2.46,25.26,1
47.68,1.0,7.35,1
51.61,1.28,8.24,1
54.61,1.03,5.82,0
52.74,-0.54,-3.41,1
53.08,-0.58,-3.79,0
51.17,-0.54,-3.62,1
55.44,1.34,8.36,1
60.18,1.67,8.55,0
58.14,-0.5,-3.4,1
60.04,0.66,3.28,1
60.46,0.14,0.69,0
59.03,-0.3,-2.37,1
59.85,0.25,1.4,1
61.64,0.53,2.98,1
66.68,1.65,8.17,1
67.13,0.16,0.69,1
67.13,0.0,0.0,1
69.11,0.64,2.94,1
72.44,1.19,4.83,1
72.77,0.12,0.46,0
68.5,-0.59,-5.88,0
55.61,-2.18,-18.82,1
55.34,0.29,2.41,1
56.77,0.31,2.58,0
54.95,-0.3,-3.21,0
50.4,-0.78,-8.29,1
51.54,0.21,2.27,0
43.7,-1.51,-15.22,1
44.26,0.09,1.29,0
36.67,-1.81,-17.15,0
31.11,-1.78,-15.16,1
35.29,0.72,13.44,1
35.72,0.07,1.21,1
37.72,0.33,5.58,0
34.79,-0.82,-7.76,1
42.0,0.34,4.25,1
45.26,0.65,7.76,0
38.6,-1.84,-14.72,1
41.49,0.58,7.49,0
36.82,-1.45,-11.25,1
44.35,1.65,20.45,0
44.18,-0.05,-0.38,0
39.37,-1.44,-10.9,1
46.12,1.56,17.14,1
52.41,1.69,13.64,0
51.03,-0.36,-2.62,1
53.69,0.73,5.21,1
62.65,2.96,16.68,0
60.43,-0.51,-3.54,1
63.35,1.06,4.83,1
65.46,0.81,3.34,0
62.3,-0.66,-4.83,0
60.09,-0.47,-3.55,0
58.93,-0.24,-1.92,0
58.13,-0.16,-1.36,0
57.23,-0.17,-1.54,1
61.43,1.13,7.33,1
74.45,-1.44,-7.93,1
75.75,0.91,1.74,0
75.65,-0.02,-0.13,0
74.1,-0.32,-2.05,0
67.07,-1.54,-9.49,0
66.33,-0.17,-1.1,1
69.96,1.73,5.46,1
70.0,0.02,0.06,1
72.25,1.11,3.21,0
71.92,-0.06,-0.46,1
73.96,0.99,2.84,0
69.86,-0.74,-5.55,1
72.67,1.28,4.02,0
64.29,-1.64,-11.54,0
61.26,-0.66,-4.71,0
55.18,-1.45,-9.92,1
55.29,0.03,0.19,0
48.98,-1.65,-11.41,1
52.46,1.0,7.11,0
51.93,-0.14,-1.02,1
53.98,0.57,3.96,1
57.08,0.88,5.73,1
58.03,0.27,1.67,0
54.57,-0.72,-5.96,1
60.62,1.74,11.08,1
68.3,2.89,12.67,0
65.16,-0.65,-4.6,1
66.13,0.38,1.49,0
64.71,-0.27,-2.14,1
65.96,0.44,1.93,0
61.64,-0.8,-6.55,1
62.28,0.19,1.04,0
55.99,-1.21,-10.11,1
62.85,2.08,12.26,1
63.04,0.06,0.29,1
65.15,0.68,3.35,1
65.83,0.22,1.04,1
67.97,0.7,3.25,0
57.87,-1.79,-14.86,1
63.09,1.61,9.02,1
70.14,2.81,11.17,0
73.12,1.06,3.4,1
77.62,2.38,6.15,1
79.33,1.07,2.21,0
50.2,-7.45,-36.72,0
48.91,-0.54,-2.57,0
46.37,-1.07,-5.2,0
46.29,-0.03,-0.16,1
50.78,1.64,9.69,0
48.59,-0.81,-4.3,1
49.09,0.17,1.02,1
50.89,0.6,3.66,0
48.99,-0.61,-3.72,1
56.09,2.46,14.49,0
51.89,-1.3,-7.5,0
50.78,-0.36,-2.14,0
49.42,-0.43,-2.68,1
53.67,1.37,8.61,1
55.41,0.58,3.24,0
41.8,-4.65,-24.56,1
42.03,0.07,0.54,1
42.2,0.05,0.41,0
37.36,-2.07,-11.47,1
45.52,2.56,21.84,1
43.95,-2.47,-12.93,0
40.85,-1.38,-7.05,0
38.95,-0.9,-4.65,0
36.58,-1.17,-6.07,0
36.54,-0.02,-0.12,0
32.23,-2.25,-11.79,1
37.6,1.56,16.65,0
34.7,-1.5,-7.71,1
57.77,10.03,66.46,1
59.08,0.77,2.28,0
56.76,-0.93,-3.93,1
56.99,0.12,0.41,1
60.46,1.82,6.1,1
64.05,2.05,5.93,1
65.07,0.6,1.59,0
62.01,-0.97,-4.71,0
61.85,-0.05,-0.25,1
63.17,0.64,2.13,0
62.82,-0.1,-0.55,1
66.54,1.78,5.92,1
67.86,0.66,1.98,1
69.56,0.87,2.51,1
72.99,0.11,0.26,1
76.49,2.12,4.8,0
75.33,-0.23,-1.52,1
75.76,0.25,0.57,1
77.9,1.29,2.83,0
77.6,-0.05,-0.39,0
71.82,-1.0,-7.45,0
63.03,-1.76,-12.24,1
65.31,0.89,3.63,1
70.37,2.27,7.74,0
66.42,-0.84,-5.61,1
76.21,5.78,14.75,0
74.27,-0.45,-2.55,0
69.33,-1.19,-6.66,0
64.63,-1.22,-6.78,0
57.18,-2.2,-11.53,1
60.98,1.76,6.64,0
60.24,-0.22,-1.21,0
59.73,-0.15,-0.84,0
49.36,-3.37,-17.36,1
53.54,1.68,8.46,0
42.59,-4.77,-20.45,1
47.36,2.06,11.2,0
36.49,-6.73,-22.95,1
45.9,5.07,25.78,0
39.92,-4.54,-13.03,1
47.43,4.84,18.82,1
49.98,1.75,5.38,1
52.82,1.98,5.68,0
51.17,-1.02,-3.12,0
49.06,-1.32,-4.12,0
43.03,-4.23,-12.29,0
40.93,-1.72,-4.9,1
42.91,1.15,4.85,1
51.88,5.86,20.9,1
54.22,1.68,4.52,0
50.21,-2.51,-7.4,1
54.6,3.13,8.75,1
57.82,2.44,5.9,1
58.13,0.23,0.54,0
58.03,-0.05,-0.18,0
55.44,-1.26,-4.46,0
56.01,3.54,11.9,1
56.48,0.28,0.83,0
50.88,-2.74,-9.91,1
53.7,1.61,5.55,1
59.12,3.39,10.08,1
62.95,2.69,6.48,1
64.96,1.5,3.2,1
65.51,0.4,0.85,1
67.74,1.64,3.41,0
67.54,-0.07,-0.31,0
55.94,-4.46,-17.17,0
52.17,-1.83,-6.74,1
60.4,5.32,15.77,1
62.84,1.79,4.04,1
65.8,2.3,4.72,0
59.0,-3.02,-10.34,0
57.74,-0.61,-2.14,0
51.52,-3.22,-10.77,0
47.06,-2.72,-8.65,1
54.08,4.58,14.9,1
56.97,2.06,5.35,1
59.69,2.01,4.76,1
60.5,0.6,1.37,1
64.1,2.73,5.95,0
61.28,-1.25,-4.4,0
60.25,-0.46,-1.68,1
61.29,0.68,1.73,1
63.92,1.75,4.29,0
58.03,-2.38,-9.22,1
59.42,0.84,2.39,0
54.19,-2.26,-8.8,1
57.96,2.19,6.96,1
59.23,0.75,2.19,1
64.27,3.24,8.52,0
57.04,-2.99,-11.25,1
58.33,0.78,2.25,1
63.95,3.76,9.64,1
65.15,0.86,1.87,0
